country,threshold,area
Spain,20,12.621461870197296
France,20,17.663135287982527
Sweden,20,28.43925570176423
Denmark,20,0.702446419948149
Estonia,20,2.6952946702827045
Latvia,20,3.6271044639198715
Lithuania,20,2.383554502012489
Belarus,20,9.430437395090555
Poland,20,10.808599891976728
Germany,20,12.960882558747477
Czechia,20,3.1695849139155317
Slovakia,20,2.4360241524994706
Hungary,20,2.1216155708537947
Slovenia,20,1.335826023797474
Austria,20,4.43032452233242
Switzerland,20,1.5935227711562998
Liechtenstein,20,0.009257979573929712
Luxembourg,20,0.10457430357938807
Netherlands,20,0.6653313614359335
Belgium,20,0.9163588265554661
United Kingdom,20,4.0116527272530655
Ireland,20,0.9360040852158938
Iceland,20,0.0
Russia,20,219.75944696927596
Russia,20,163.31112107676643
Mongolia,20,4.882968495700377
Russia,20,114.24550368068202
Russia,20,131.3490134172925
Maldives,20,0.0010194564857931238
Bhutan,20,2.627216930801475
Afghanistan,20,0.28765653485740356
Pakistan,20,1.2650007089822575
Nepal,20,5.392389898701865
Sri Lanka,20,4.130656432796646
India,20,44.01924380000662
Bangladesh,20,2.1975223954787193
Palau,20,0.039326665004753646
Nauru,20,0.0
Tuvalu,20,0.0
Cook Is,20,0.0
Tonga,20,0.0
Niue,20,0.0
Samoa,20,0.0
Marshall Is,20,0.0
Kiribati,20,0.0
Fed States of Micronesia,20,0.0038319214937430823
Papua New Guinea,20,42.95173351312185
Solomon Is,20,2.561276425409868
New Zealand,20,11.303871448610558
Fiji,20,1.5856425397591596
Vanuatu,20,1.0532819449775566
Indonesia,20,161.51622291446904
Singapore,20,0.019481902707259437
Brunei,20,0.5388729714763454
Philippines,20,18.75202238559712
Timor-Leste,20,0.8031685847096566
Malaysia,20,29.45424016165573
Thailand,20,20.93791099984773
Burma,20,43.78752745213027
Laos,20,19.47014097397492
Cambodia,20,9.484213064101057
Vietnam,20,17.28989195088706
Oman,20,5.463203297119142e-05
United Arab Emirates,20,0.0
Qatar,20,0.0
